I1,I2,I1MAX,I1MIN,I1VAR,I2MAX,I2MIN,I2VAR,I3,I4,I3max,I3min,I3var,I4MAX,I4MIN,I5,I6,Itotal1,Itotalmax1,Itotalmin1,Vdcmean1,Vdcmax1,Vdcmin1,Pdcmean1,IR,T,range 1,range 2,range 3,range 4
0.9790293349051993,0.9769250418524612,0.6162089894599322,0.980151817506828,1.922175608163458e-05,0.5986930512505028,0.9792518213638062,1.9255564737321995e-05,0.6018379168597704,0.6197811999311588,0.6040562211125895,0.609928249464665,0.04415302385699888,0.6165504672585717,0.620967101554468,0.6197811999311588,0.6197811999311588,0.009742431503169335,0.018378112228858434,0.012691988934963927,0.7150873464711758,0.6677569869678539,0.8012220686579852,0.6053099681163397,0.6196868008948545,0.48,0.003063250416966757,0.003063250416966757,0.9999999999999993,1.5975758917453025e-15
0.9674076113271886,0.9653282976201291,0.390224032100146,0.9692254288121366,0.00012557880780167068,0.3791317888011783,0.9683354655104631,0.00012561261286150004,0.3759344521445629,0.3871426165060132,0.38208042834111416,0.3785899971162441,0.31130890581362397,0.38998334656694333,0.3854419489392877,0.3871426165060132,0.3871426165060132,0.005000985279896675,0.014182030807921464,0.012001268563369027,0.7769498862805921,0.7998365473501305,0.6714589227016123,0.3841660897196609,0.3847874720357941,0.19999999999999996,0.0035777067707645246,0.0035777067707645246,0.9999999999999993,0.0
0.982977331371591,0.9808645526267085,0.6792175632506455,0.9839154528172132,3.529673693509793e-06,0.6599105861176365,0.9830120008245948,3.5634828797356148e-06,0.6666771964774904,0.6865536072494333,0.6657455100936904,0.6765531784057712,0.006382044484301918,0.679515732107748,0.6887978489450723,0.6865536072494333,0.6865536072494333,0.01050569248952371,0.018370822068531467,0.012149437674129793,0.6779388041673418,0.6237539426585581,0.8096967213374135,0.66667638717636,0.6868008948545861,0.5599999999999999,0.002200179760455,0.002200179760455,0.9999999999999994,1.9662478899742645e-15
0.9728557238670629,0.9707647001683214,0.5210033068085629,0.9741173149994992,6.891935746800116e-05,0.5061936206711285,0.9732228598643953,6.895316444344717e-05,0.5049607395189264,0.5200157123534759,0.5103451723755257,0.5104996780378679,0.16642311186400674,0.5209011073700018,0.5197390114228986,0.5200157123534759,0.5200157123534759,0.008258322767808579,0.017545271927066786,0.012940557699723243,0.7553238420986919,0.731337582971328,0.7646369358130833,0.5115598984395714,0.5190156599552572,0.36,0.004716207199802277,0.004716207199802277,0.9999999999999993,3.68671998228962e-15
0.9578197785965304,0.9557610726578867,0.9419840265849377,0.9507238030973361,0.0004133917351640352,0.9152078284343845,0.9498508283799671,0.00041342553049310927,0.9285086456274523,0.9561913372558809,0.9253552786708854,0.9421156109730023,0.006117438276302879,0.9444952464753772,0.9591665917894401,0.9561913372558809,0.9561913372558809,0.7702896368324925,0.6867348585350515,0.8065768921611367,0.47767418000864836,0.43244861164204984,0.6013117371185874,0.8951551221056167,0.9552572706935123,0.88,0.04765616265197459,0.04765616265197459,0.9999999999999994,5.652959570523286e-15
0.9933565514832438,0.9912214639882603,0.8757913220762411,0.9936922744673214,2.8152826843100905e-06,0.850896672786417,0.9927798451901447,2.849091894688976e-06,0.8624280437387499,0.8881405987041323,0.8595151972849093,0.8748846572417495,0.005667082933858569,0.8772933345935696,0.8907188514037783,0.8881405987041323,0.8881405987041323,0.44675109165144455,0.20734088808550766,0.5696235634533409,0.5351904652767594,0.48330387836663746,0.6727416112121176,0.845453930444638,0.8881431767337806,0.7999999999999999,0.0014792752545302503,0.0014792752545302503,1.0,5.407172703876912e-15
0.9761024374824232,0.9740044354055458,0.8108073686453425,0.9740782024331738,6.115433133215222e-05,0.7877599090790856,0.9731837832120562,6.118813857012838e-05,0.7975544020004868,0.8213328047880616,0.7957304385846833,0.8087398445201749,0.009913612247314784,0.8121892575125232,0.8233769096677956,0.8213328047880616,0.8213328047880616,0.15710034597614708,0.01644880855076991,0.33327761942326495,0.5811651144409176,0.5341968166811473,0.7199413761834936,0.7837415099128611,0.8210290827740492,0.7200000000000001,0.01815591945669013,0.01815591945669013,0.9999999999999994,5.161385837230539e-15
0.9675289594419385,0.9654493849132819,0.4231387633403829,0.9689826328574157,0.00012849149929338908,0.4111109082466421,0.9680928924961265,0.00012852530425474235,0.4082839678094569,0.4204566053297707,0.41436737603082735,0.41161955005874207,0.293315096036767,0.42293811466415887,0.41906929080178495,0.4204566053297707,0.4204566053297707,0.005894911357042787,0.015361606413077489,0.01236317541285148,0.7736794347165556,0.7833175673327553,0.6982198307079006,0.41602422595054245,0.41834451901565994,0.24,0.005343305908434231,0.005343305908434231,0.9999999999999993,1.3517945595926612e-15
0.9754608485155505,0.973364225448635,0.7111149489205505,0.9745395961907918,3.0062676216221864e-05,0.6909012783669763,0.9736447533081608,3.0096484505385293e-05,0.699402042327277,0.7202541164067331,0.6971143269834252,0.7100287611938475,0.0022302056870298075,0.7115333788676671,0.7228792931723291,0.7202541164067331,0.7202541164067331,0.010873057913398654,0.0184812276013826,0.01183957108723277,0.6547573367917305,0.5986467402258899,0.8039779903131432,0.694998178769852,0.7203579418344519,0.6,0.01308318805421361,0.01308318805421361,0.9999999999999993,5.89874643716966e-15
0.9738932382601373,0.9717999845625065,0.7437411621138164,0.9722125499971286,5.2083541728450214e-05,0.7226000809835128,0.9713198438575629,5.211734927310347e-05,0.732171691753148,0.7540007649204425,0.7300023675130722,0.74274116660587,0.007122339542953805,0.7451016727566451,0.7561837475756257,0.7540007649204425,0.7540007649204425,0.020091964113032823,0.017622195850361067,0.0931522795153592,0.6304225500965881,0.5773966272806259,0.7872887552482233,0.7243989006097532,0.7539149888143176,0.64,0.016926859996719217,0.016926859996719217,0.9999999999999994,0.0
